id	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
bird	1781	5.487928130263897	66.816	3.2863559797866366	66.985	8.774284110050534
birmingham	109	0.28440366972477066	9.174	4.4036697247706424	57.798	4.6880733944954125
bivalves	97	2.7216494845360826	53.608	1.2061855670103092	34.021	3.9278350515463916
black lives matter	255	0.47843137254901963	5.882	0.3568627450980392	10.588	0.8352941176470589
black metal	119	0.06722689075630252	1.681	1.084033613445378	20.168	1.1512605042016806
blogging	214	0.2850467289719626	10.748	1.0373831775700935	29.907	1.3224299065420562
board and table game	459	0.19825708061002179	8.715	1.2766884531590414	40.087	1.4749455337690631
bob dylan	103	0.009708737864077669	0.971	7.514563106796117	77.67	7.524271844660194
bolivia	222	2.864864864864865	34.234	1.7477477477477477	41.892	4.612612612612613
book	3000	0.638	21.967	2.211	49.6	2.849
bosnia and herzegovina	492	0.4695121951219512	13.211	4.84349593495935	53.252	5.313008130081301
boston	685	0.2510948905109489	9.927	1.818978102189781	46.277	2.0700729927007298
boston bruins task force	96	0.0	0.0	1.4895833333333333	41.667	1.4895833333333333
boston celtics	57	0.0	0.0	0.6491228070175439	22.807	0.6491228070175439
boston red sox	298	0.020134228187919462	1.342	0.9026845637583892	32.215	0.9228187919463087
botswana	75	1.2133333333333334	28.0	2.026666666666667	49.333	3.24
bowling	35	0.11428571428571428	5.714	0.8857142857142857	31.429	1.0
boxing	640	0.04375	2.5	0.7578125	22.656	0.8015625
bradford	56	0.4642857142857143	8.929	2.5714285714285716	53.571	3.0357142857142856
brands	1693	0.46012994683992914	8.151	1.496751329001772	40.165	1.9568812758417011
brazil	1573	0.6541640178003815	15.003	1.0419580419580419	28.481	1.6961220597584235
brazilian antarctica	4	7.0	50.0	6.75	50.0	13.75
breakfast	116	1.9655172413793103	25.0	4.327586206896552	67.241	6.293103448275862
brian epstein	11	0.0	0.0	15.090909090909092	90.909	15.090909090909092
bridge and tunnel	821	0.14859926918392205	4.263	1.0950060901339829	38.002	1.243605359317905
brisbane	306	0.026143790849673203	1.961	0.6797385620915033	26.471	0.7058823529411765
bristol	440	0.3340909090909091	11.591	2.6568181818181817	59.545	2.9909090909090907
british and irish hills	326	0.08282208588957055	5.521	1.6134969325153374	30.675	1.696319018404908
british antarctic territory	21	2.3333333333333335	42.857	7.285714285714286	61.905	9.619047619047619
